participant	session	TrialNumber	speed	barWidth	time	ran	order	wbad	wbas
Nobody	1	347	25.0	1	46	0.0	--	--	--
Nobody	1	348	25.0	1	47	0.0	--	--	--
Nobody	1	349	25.0	1	48	0.0	--	--	--
Nobody	1	350	25.0	1	49	0.0	--	--	--
Nobody	1	351	0.0	1	0	0.0	--	--	--
Nobody	1	352	0.0	1	1	0.0	--	--	--
Nobody	1	353	0.0	1	2	0.0	--	--	--
Nobody	1	354	0.0	1	3	0.0	--	--	--
Nobody	1	355	0.0	1	4	0.0	--	--	--
Nobody	1	356	0.0	1	5	0.0	--	--	--
Nobody	1	357	0.0	1	6	0.0	--	--	--
Nobody	1	358	0.0	1	7	0.0	--	--	--
Nobody	1	359	0.0	1	8	0.0	--	--	--
Nobody	1	360	0.0	1	9	0.0	--	--	--
Nobody	1	361	0.0	1	10	0.0	--	--	--
Nobody	1	362	0.0	1	11	0.0	--	--	--
Nobody	1	363	0.0	1	12	0.0	--	--	--
Nobody	1	364	0.0	1	13	0.0	--	--	--
Nobody	1	365	0.0	1	14	0.0	--	--	--
Nobody	1	366	0.0	1	15	0.0	--	--	--
Nobody	1	367	0.0	1	16	0.0	--	--	--
Nobody	1	368	0.0	1	17	0.0	--	--	--
Nobody	1	369	0.0	1	18	0.0	--	--	--
Nobody	1	370	0.0	1	19	0.0	--	--	--
Nobody	1	371	0.0	1	20	0.0	--	--	--
Nobody	1	372	0.0	1	21	0.0	--	--	--
Nobody	1	373	0.0	1	22	0.0	--	--	--
Nobody	1	374	0.0	1	23	0.0	--	--	--
Nobody	1	375	0.0	1	24	0.0	--	--	--
Nobody	1	376	0.0	1	25	0.0	--	--	--
Nobody	1	377	0.0	1	26	0.0	--	--	--
Nobody	1	378	0.0	1	27	0.0	--	--	--
Nobody	1	379	0.0	1	28	0.0	--	--	--
Nobody	1	380	0.0	1	29	0.0	--	--	--
Nobody	1	381	0.0	1	30	0.0	--	--	--
Nobody	1	382	0.0	1	31	0.0	--	--	--
Nobody	1	383	0.0	1	32	0.0	--	--	--
Nobody	1	384	0.0	1	33	0.0	--	--	--
Nobody	1	385	0.0	1	34	0.0	--	--	--
Nobody	1	386	0.0	1	35	0.0	--	--	--
Nobody	1	387	0.0	1	36	0.0	--	--	--
